pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
6,2021-09-20,,,25.0,8736.77,,,,,,,,,,,,
6,2021-09-20,,,,,7.0,10552.305,,,,,,,,,,
6,2021-09-20,,,,,,,7.0,1649.303,,,,,,,,
6,2021-09-21,1.0,17124.524,,,,,,,,,,,,,,
6,2021-09-21,,,8.0,15146.493,,,,,,,,,,,,
6,2021-09-21,,,,,3.0,52735.964,,,,,,,,,,
6,2021-09-22,1.0,5913.919,,,,,,,,,,,,,,
6,2021-09-22,,,11.0,7403.496999999999,,,,,,,,,,,,
6,2021-09-22,,,,,17.0,12277.354,,,,,,,,,,
6,2021-09-23,19.0,3358.853,,,,,,,,,,,,,,
6,2021-09-23,,,9.0,17407.411,,,,,,,,,,,,
6,2021-09-23,,,,,10.0,9856.131000000001,,,,,,,,,,
6,2021-09-23,,,,,,,0.0,0.0,,,,,,,,
6,2021-09-24,9.0,17648.857,,,,,,,,,,,,,,
6,2021-09-24,,,11.0,16002.277,,,,,,,,,,,,
6,2021-09-24,,,,,21.0,10900.646,,,,,,,,,,
6,2021-09-24,,,,,,,1.0,608.795,,,,,,,,
6,2021-09-25,,,,,,,,,4.0,5314.844,,,,,,
6,2021-09-25,,,,,,,,,,,10.0,20441.438000000002,,,,
6,2021-09-25,,,,,,,,,,,,,5.0,10636.943,,
6,2021-09-25,,,,,,,,,,,,,,,0.0,0.0
6,2021-09-26,,,,,,,,,,,,,,,2.0,1758.257
6,2021-09-27,12.0,6390.523999999999,,,,,,,,,,,,,,
6,2021-09-27,,,12.0,12946.239999999998,,,,,,,,,,,,
6,2021-09-27,,,,,26.0,6891.766,,,,,,,,,,
6,2021-09-28,8.0,14647.989000000001,,,,,,,,,,,,,,
6,2021-09-28,,,23.0,8458.109,,,,,,,,,,,,
6,2021-09-28,,,,,11.0,3882.064,,,,,,,,,,
6,2021-09-28,,,,,,,0.0,0.0,,,,,,,,
6,2021-09-29,18.0,6884.469999999999,,,,,,,,,,,,,,
6,2021-09-29,,,10.0,5424.057,,,,,,,,,,,,
6,2021-09-29,,,,,48.0,3686.958,,,,,,,,,,
6,2021-09-30,5.0,9994.782,,,,,,,,,,,,,,
6,2021-09-30,,,15.0,11767.258,,,,,,,,,,,,
